          MJD       m       dm    uJy   duJy     Mask
 58338.458506  15.069    0.006   3407     21 0xd00831
 58338.458965  15.211    0.007   2990     21 0xd00831
 58338.463577  14.547    0.004   5511     23 0xd00831
 58342.421116  15.427    0.006   2450     14 0xd00931
 58342.422038  15.998    0.006   1448      9 0xd00831
 58342.437887  15.563    0.006   2161     12 0xd00931
 58342.443421  15.595    0.006   2099     13 0xd00831
 58348.414520  20.519    0.698     22     16 0x002030
 58348.424746  15.945    0.008   1521     12 0x180031
 58348.440246  18.806    0.122    109     13 0x400220
 58348.445799 -22.629    3.515     -3     11 0x082010
 58352.415748  20.121    1.850     32     60 0x100002
 58352.424574  20.431    2.364     24     58 0x100002
 58352.426405 -22.372    8.276     -4     34 0x002000
 58352.441410  19.501    1.453     58     84 0x100002
 58360.390444  17.490    0.061    366     22 0x100001
 58360.398396  21.262    1.575     11     18 0x400110
 58360.398852  14.860    0.004   4130     15 0x100001
 58360.399310 -21.101    1.787    -13     24 0x000000
 58360.400225  21.180    1.583     12     19 0x000000
 58360.400683 -19.694    0.464    -48     22 0x000000
 58360.414754 -20.391    0.819    -25     21 0x080010
 58360.416127  20.277    0.746     28     21 0x000000
 58360.416584  19.813    0.593     43     26 0x000000
 58360.421171  18.053    0.095    218     21 0x001000
 58360.421629  20.426    0.794     24     20 0x000000
 58360.422543 -20.070    0.528    -34     18 0x080030
 58362.381034  21.472    2.387      9     22 0xc00330
 58362.390795  17.966    0.076    236     18 0xd00c31
 58362.391256  20.196    0.654     30     20 0x980031
 58362.406636  17.738    0.074    292     22 0xd00a31
 58362.407097  22.506    5.467      4     20 0xc00230
 58362.410825  15.477    0.006   2339     15 0xd00931
 58362.411285  20.121    0.707     32     23 0xc00220
 58362.424468  20.220    0.616     30     18 0xc00230
 58364.382085  15.712    0.007   1884     14 0x100031
 58364.398370 -21.280    1.216    -11     14 0x002000
 58364.398826  14.374    0.002   6463     14 0x100031
 58364.400200  15.768    0.007   1790     13 0x100031
 58364.401115  15.488    0.006   2317     14 0x100031
 58364.402945 -20.518    1.244    -22     28 0x002000
 58366.373032  16.023    0.010   1416     14 0x500831
 58366.374414  15.461    0.006   2375     15 0x500931
 58366.390764  19.308    0.236     69     16 0x400130
 58366.394908 -22.886    5.455     -2     14 0x002000
 58368.375613 -22.402    3.870     -4     15 0x000000
 58368.392806  21.009    1.043     14     15 0x000000
 58368.393263  21.694    2.329      8     18 0x000000
 58368.395095  19.960    0.352     38     13 0x000000
 58368.396008  21.597    1.795      8     15 0x080010
 58368.411520  15.861    0.015   1643     24 0x180011
 58368.411978  15.224    0.333   2955    985 0x500a32
 58368.415645  14.812    0.005   4317     20 0x100031
 58372.373135  22.336    3.939      4     17 0x080030
 58372.374049 -22.221    2.157     -5     10 0x000000
 58372.389882  21.067    0.979     14     13 0x000000
 58372.391254 -20.553    0.620    -22     14 0x000000
 58372.393084 -21.004    1.137    -14     16 0x000000
 58372.393999  23.292   10.143      2     18 0x080030
 58372.395370  21.698    1.930      8     15 0x080010
 58372.408459 -21.162    1.028    -12     13 0x000010
 58374.372512  15.470    0.006   2356     15 0x500831
 58374.373892  20.644    0.784     20     16 0x400230
 58374.374352  19.390    0.270     64     17 0x400220
 58374.375272  15.704    0.008   1898     14 0x500831
 58374.389305  17.123    0.036    514     18 0x500a31
 58374.390686  15.097    0.005   3319     18 0x500831
 58374.391147 -20.199    0.583    -30     18 0x082030
 58374.394369  18.950    0.167     96     16 0x400130
 58374.394830  15.819    0.009   1708     16 0x500831
 58374.408425 -20.093    0.484    -33     16 0x400320
 58378.353395  20.368    0.790     26     20 0x000000
 58378.361793  13.983    0.003   9264     25 0x500831
 58378.363175  18.778    0.198    112     22 0x400830
 58378.363636 -21.629    2.531     -8     20 0x000000
 58378.364097  17.153    0.041    500     20 0x500831
 58378.377679  20.939    1.270     15     19 0x000000
 58378.378600  19.156    0.252     79     20 0x500221
 58378.379061  19.088    0.328     84     28 0x400b30
 58378.379984  14.963    0.005   3756     20 0x500831
 58378.383665  14.698    0.005   4797     23 0x500231
 58380.367033 -17.920    0.689   -247    170 0x100002
 58380.367948 -19.634    2.602    -51    132 0x100002
 58380.383788  20.492    1.642     23     38 0x002010
 58380.388361  15.179    0.005   3079     17 0x100001
 58382.342295  19.874    0.503     41     20 0x000000
 58382.344599  19.752    0.434     46     20 0x000000
 58382.359993  21.599    3.054      8     25 0x000000
 58382.361375  20.768    1.659     18     30 0x400220
 58382.362756 -21.580    2.442     -8     21 0x080030
 58382.364137  21.148    1.708     13     22 0x000030
 58382.365058  18.907    0.229     99     23 0x400220
 58382.378169  18.742    0.195    116     22 0x400130
 58384.333543  15.924    7.392   1550  11456 0x900002
 58384.348935 -20.279    5.205    -28    146 0x900002
 58384.353509 -19.034    1.635    -88    144 0x900002
 58384.366593  19.092    1.576     84    132 0x900002
 58386.327523 -19.491    0.581    -58     34 0x800000
 58386.337359  19.730    0.673     46     31 0x800000
 58386.353781 -19.708    0.684    -48     32 0x880010
 58386.357460  19.024    0.359     89     32 0x800000
 58390.334376  20.836    1.207     17     20 0xc00130
 58390.351617 -20.984    1.833    -15     27 0xc00110
 58390.355306  14.632    0.010   5094     52 0xd00831
 58390.368457  14.411    0.006   6247     37 0xd00831
 58392.341685  24.008   14.500      1     13 0x002030
 58392.342599  15.538    0.004   2212     10 0x100031
 58392.357949 -21.007    0.942    -14     14 0x082030
 58392.362978  20.314    0.444     27     12 0x400130
 58394.331977  21.031    1.097     14     15 0xc00330
 58394.332899  15.713    0.008   1883     16 0xd00831
 58394.348334  18.190    0.096    192     18 0xd00a31
 58394.353399  15.721    0.007   1869     14 0xd00831
 58402.302393  22.430    4.687      4     18 0x400110
 58402.310799  19.890    0.460     40     18 0x082030
 58402.327609  15.256    0.007   2868     19 0x500831
 58402.330842  19.581    0.342     53     18 0x002000
 58408.311506 -23.778   14.091     -1     16 0x000000
 58408.327368  22.660    5.964      3     19 0x000000
 58408.333784 -20.439    0.718    -24     17 0x000000
 58408.344107  20.069    0.563     34     19 0x080010
 58412.288058  20.363    0.716     26     19 0x000000
 58412.297019 -21.744    3.079     -7     22 0x000000
 58412.298854 -22.003    3.400     -6     20 0x080010
 58412.309227  19.452    0.405     60     24 0x000000
 58414.281900  19.701    0.678     48     32 0x000000
 58414.286562  20.269    1.068     28     30 0x000000
 58414.289813 -23.201   19.125     -2     36 0x000000
 58414.291197  18.589    0.449    133     60 0x100003
 58414.291657  19.815    0.722     43     31 0x400220
 58414.294433  19.679    0.706     49     34 0x400110
 58414.302865  20.299    1.009     28     28 0x080010
 58416.260144 -20.953    1.220    -15     18 0x000000
 58416.262432  20.212    0.862     30     26 0x000000
 58416.268948  17.244    0.049    460     23 0x100001
 58416.269405  20.216    0.739     30     22 0x000000
 58416.276370 -20.147    0.711    -32     22 0x000000
 58416.279587 -21.005    1.730    -14     25 0x000000
 58416.282836  20.948    1.594     15     24 0x000000
 58416.294443  19.419    0.508     62     32 0x000000
 58430.257787  18.088    0.086    211     18 0xd00931
 58430.265211  19.686    0.398     48     19 0xc00c30
 58430.272690  14.896    0.004   3994     17 0xd00831
 58430.278280  15.706    0.009   1894     16 0xd00831
 58434.264071 -20.073    0.489    -34     17 0x002000
 58434.272002  17.693    0.056    304     17 0x500c31
 58434.279932  20.085    0.434     34     15 0x002000
 58434.290070  19.986    0.563     37     21 0x400220
 58438.253391 -16.853    0.869   -659    572 0x100002
 58438.260824  19.100    0.615     83     51 0x002020
 58438.267835  17.483    0.203    369     75 0x500a32
 58438.274374  18.043    1.671    220    368 0x100002
 58442.243122  20.048    0.819     35     28 0x000000
 58442.250583  19.292    0.493     70     34 0x000000
 58442.254783  20.177    1.015     31     31 0x000000
 58442.258009  22.935   14.100      2     34 0x000000
 58442.261770 -20.045    0.925    -35     32 0x000000
 58442.265014 -20.595    1.462    -21     31 0x000000
 58442.268742  19.016    0.303     90     27 0x000000
 58442.274314 -19.764    0.723    -45     33 0x000000
 58446.257297  20.171    1.269     31     39 0x000000
 58446.264396  20.215    1.272     30     38 0x000000
 58446.264858 -20.106    1.054    -33     35 0x080010
 58446.277316  21.512  103.667      9    936 0x100002
 58450.245159  18.743    0.187    116     22 0xc00220
 58450.253062  21.199    1.625     12     20 0xc00220
 58450.260532  18.614    0.162    130     21 0xd00b31
 58450.260993  19.141    0.274     80     22 0xc00220
 58450.267949  18.383    0.128    161     21 0xd00221
 58450.275875  15.271    0.008   2829     22 0xd00a31
 58452.253219 -21.602    1.866     -8     16 0x000000
 58452.261172  21.971    2.678      6     16 0x000000
 58452.269069  19.663    0.313     50     16 0x000030
 58452.276977  21.050    1.169     14     16 0x000000
 58454.240826  16.285    0.012   1112     13 0x500831
 58454.249224  20.147    0.496     32     16 0x400220
 58454.258063  15.804    0.008   1731     14 0x500931
 58454.265034  21.027    1.066     14     15 0x002030
 58458.254978  21.270    1.128     11     13 0x002000
 58458.263316  15.624    0.006   2044     12 0x500931
 58458.270693  15.777    0.007   1776     13 0x500a31
 58458.278577  15.480    0.006   2333     13 0x500831
 58462.236304  15.504    0.006   2282     14 0x500831
 58462.245164  20.936    1.045     15     16 0x002000
 58462.253544  18.817    0.137    108     15 0x400130
 58462.260970  16.025    0.011   1413     15 0x500931
 58466.239883  17.856    0.088    262     23 0x100031
 58466.249640  14.988    0.006   3670     21 0x500931
 58466.252439  22.404    5.294      4     21 0x400330
 58466.260785  18.609    0.169    131     22 0x400220
 58466.268679  19.727    0.467     47     22 0x002000
 58466.276610 -19.687    0.487    -48     24 0x002000
 58470.233548  15.046    1.437   3479   5001 0x900002
 58470.242419 -16.390    4.821  -1009   4864 0x900002
 58472.220932  19.546    0.673     55     37 0x080010
 58472.229850  19.629    0.669     51     34 0x000000
 58472.238785 -20.468    1.596    -24     38 0x000000
 58472.247635  20.658    2.365     20     47 0x000000
 58478.227500  20.053    0.459     35     16 0xc00220
 58478.237844  15.677    0.009   1947     17 0xd00831
 58480.211007  21.448    2.160     10     21 0x400130
 58480.220916  20.604    0.799     21     17 0x081030
 58480.230813  18.976    0.182     93     17 0x000000
 58480.240745  19.236    0.258     73     19 0x080010
 58486.199734  18.528    0.721    141    102 0x100002
 58486.204872  21.225    3.022     12     36 0x002000
 58486.212389  19.376    0.300     64     19 0x400930
 58486.221274  18.891    0.183    101     18 0x500e31
 58594.634943  19.100    0.968     83     80 0x900002
 58610.626361 -20.939    4.707    -15     72 0x900002
 58616.563026 -23.625   11.000     -1     14 0x000030
 58616.565799  20.940    0.841     15     13 0x000030
 58616.571819 -21.709    1.946     -8     15 0x000030
 58616.583740 -24.893   26.500      0     11 0x000030
 58618.495126  14.731    0.005   4651     22 0x100031
 58618.497912  19.712    0.384     47     18 0x082030
 58618.503136  19.133    0.236     81     19 0x400110
 58618.512975  20.990    1.424     15     21 0x002000
 58620.594179 -20.918    1.603    -16     25 0x000030
 58620.597443  21.440    3.402     10     33 0x000030
 58620.597900 -22.649    6.000     -3     19 0x000000
 58620.605030  20.105    0.545     33     18 0x000030
 58620.611046  21.916    3.117      6     19 0x000000
 58620.611621  20.652    0.886     20     18 0x000000
 58620.616678  19.812    0.606     43     26 0x080010
 58620.618158  21.744    3.118      7     23 0x000000
 58622.537187 -22.590    7.944     -3     26 0x100001
 58622.539955  17.370    0.065    409     27 0x400430
 58622.553087  19.331    0.447     67     30 0x082010
 58622.562595  19.414    0.532     62     33 0x002000
 58626.551833  22.468    5.800      4     22 0x002000
 58626.554604  18.474    0.127    148     19 0x500831
 58626.560613  18.027    0.092    224     20 0x500b31
 58626.570342  19.102    0.216     83     18 0x400330
 58630.567919  15.837    0.008   1679     13 0x900031
 58630.570683  15.580    0.007   2129     15 0xd00831
 58630.576265  20.710    0.701     19     13 0xd00b31
 58630.586044  15.444    0.006   2413     14 0xd00831
 58634.542761  20.109    0.477     33     16 0x400130
 58634.543682  14.087    0.003   8416     23 0x500831
 58634.546050  19.306    0.264     69     18 0x180031
 58634.555508  14.959    0.004   3770     16 0x500831
 58634.556890  15.116    0.005   3264     15 0x500131
 58634.564068  19.003    0.161     91     15 0x082010
 58638.551650  14.531    0.017   5593     92 0xd00b33
 58638.555397  14.213    0.005   7492     35 0xd00831
 58638.560122  13.938    0.004   9659     41 0xd00831
 58638.562888  16.615    0.038    820     31 0xd00131
 58638.564889  17.647    0.132    317     42 0xd00831
 58638.572416  16.515    0.258    900    232 0xd00833
 58638.576183  16.898    0.123    632     78 0xd00833
 58638.583235  15.039    1.003   3502   3512 0x900002
 58642.561373  20.242    0.449     29     13 0xc00930
 58642.566144  15.429    0.005   2445     13 0xd00a31
 58642.585517  19.131    0.174     81     14 0xc00830
 58642.597315  16.584    0.014    844     12 0xd00a31
 58644.525137  26.461  120.000      0     11 0x000000
 58644.527880  22.854    4.704      3     12 0x000000
 58644.534471  21.372    1.210     10     12 0x000000
 58644.553437  20.567    0.740     22     16 0x000030
 58648.594458  20.666    0.635     20     12 0x000000
 58648.597659 -21.865    2.246     -6     15 0x080010
 58648.604748  20.416    0.668     25     16 0x080010
 58648.609782 -23.548   10.786     -1     15 0x000000
 58650.540193  22.017    4.517      6     26 0x000000
 58650.545234  20.193    0.901     30     27 0x000000
 58650.548723 -21.830    4.344     -7     29 0x400220
 58650.559545  20.833    1.506     17     25 0x000000
 58654.571480 -20.381    0.982    -26     25 0x000000
 58654.574699 -20.706    1.190    -19     23 0x000000
 58654.580738  19.670    0.450     49     22 0x000010
 58654.591995 -22.144    4.435     -5     22 0x080010
 58656.537695  21.352    1.703     10     18 0x000030
 58656.543422  15.577    0.007   2133     14 0x180011
 58656.546374 -20.652    0.941    -20     19 0x000030
 58656.557578  21.245    1.564     12     18 0x000030
 58658.510489  18.686    0.139    122     17 0x400130
 58658.513980  20.125    0.503     32     16 0x002000
 58658.519393  19.631    0.326     51     17 0x002030
 58658.530066 -14.134    3.377  -8062  27230 0x100002
 58662.508545  15.563    0.006   2162     12 0xd00831
 58662.511766  15.871    0.008   1628     12 0xd00931
 58662.517764  16.266    0.012   1131     13 0xd00831
 58662.527892  15.525    0.006   2238     14 0x900031
 58669.529579  19.427    0.245     62     15 0xc00830
 58669.532798  18.347    0.084    166     14 0xd00931
 58669.538341  19.107    0.175     83     14 0xc00330
 58669.550912  15.587    0.006   2114     13 0xd00831
 58675.468080  17.136    0.033    508     17 0x500831
 58675.471783  21.878    2.833      6     18 0x080030
 58675.477765 -21.013    1.228    -14     18 0x080010
 58675.487913  21.756    2.341      7     17 0x000030
 58676.600672  16.194    0.009   1209     11 0x900031
 58676.603043  15.679    0.006   1943     11 0x980031
 58676.609080  15.688    0.006   1927     11 0x900031
 58676.611847  15.486    0.005   2320     13 0x900031
 58678.463108  18.487    0.155    146     23 0x801030
 58678.466518  19.555    0.427     55     23 0xc00830
 58678.471981 -20.062    0.672    -34     23 0x801000
 58678.486491  19.713    0.600     47     28 0x800000
 58680.436182  21.543    2.706      9     24 0x000000
 58680.439401 -21.417    2.316    -10     23 0x000000
 58680.444548 -19.961    0.585    -38     22 0x000000
 58680.455386  20.998    1.579     14     23 0x000000
 58682.452330 -20.624    1.590    -20     32 0x002000
 58682.455290 -20.567    1.582    -22     34 0x400220
 58682.461033 -19.174    0.920    -78     72 0x100002
 58682.471777 -19.866    2.424    -41    100 0x100002
 58684.434784  20.754    0.765     18     14 0x000000
 58684.438215 -20.401    0.661    -25     17 0x000000
 58684.443935  21.342    1.646     10     17 0x000000
 58684.453726  20.975    0.993     15     15 0x080010
 58684.500187 -20.146    0.456    -32     14 0x000000
 58684.503127  19.771    0.294     45     13 0x080030
 58684.508370  22.356    3.649      4     15 0x000000
 58684.518420 -20.082    0.484    -34     16 0x000000
 58688.421087 -22.194    2.204     -5     11 0x000000
 58688.424363 -21.286    1.024    -11     11 0x000000
 58688.430854  21.084    0.887     13     12 0x000030
 58688.440589 -20.953    0.846    -15     13 0x400110
 58688.441046  16.523    0.011    893     10 0x100001
 58688.444265 -21.220    1.180    -12     14 0x000000
 58688.452254  22.772    5.484      3     16 0x080030
 58688.463954 -21.989    2.828     -6     16 0x000030
 58690.415450  16.130    0.009   1282     12 0xd00831
 58690.419466  15.974    0.007   1481     10 0xd00931
 58690.426714 -22.911    5.231     -2     13 0xc00830
 58690.440301  15.792    0.006   1751     10 0xd00a31
 58694.428953  15.798    0.008   1741     13 0xd00831
 58694.432191  15.671    0.006   1957     11 0xd00831
 58694.438186  15.886    0.008   1606     13 0xd00831
 58694.448310  16.295    0.010   1101     11 0xd00831
 58702.484544  18.551    0.101    138     14 0xc00b30
 58702.487361  16.339    0.010   1058     11 0xd00a31
 58702.492508  15.837    0.007   1680     11 0xd00b31
 58702.502373  16.007    0.008   1436     12 0xd00831
 58710.372788 -20.865    2.453    -16     40 0x000000
 58710.376008  20.095    1.220     33     41 0x000000
 58710.381531  18.897    0.420    100     42 0x000000
 58710.392614  18.957    0.531     95     50 0x400220
 58714.366748  18.527    0.167    141     24 0x400330
 58714.370430 -19.717    0.447    -47     21 0x400110
 58714.376416  20.951    1.635     15     25 0x082010
 58714.386174  18.155    0.106    198     21 0x500331
 58714.386635  19.334    0.338     67     23 0x082030
 58714.389877  19.136    0.217     80     18 0x400220
 58714.395443  18.214    0.117    188     22 0x400330
 58714.405587  18.228    0.132    186     24 0x400330
 58716.374753  15.560    0.007   2167     14 0x100001
 58716.377502  20.268    0.536     28     15 0x080030
 58716.383023  21.024    0.976     14     14 0x000000
 58716.393129 -20.427    0.648    -24     16 0x000010
 58722.454620  20.337    0.476     27     13 0x000000
 58722.457493  19.185    0.171     77     13 0x001030
 58722.462735  15.614    0.006   2062     12 0x180031
 58722.473548  20.990    0.888     15     13 0x000030
 58726.363096 -21.216    0.969    -12     12 0x000000
 58726.366319 -21.125    0.754    -13     10 0x000000
 58726.371866 -21.055    0.830    -14     11 0x000000
 58726.383475 -21.400    1.267    -10     13 0x000000
 58730.424493  17.503    0.079    362     28 0x500831
 58730.427742 -21.244    0.926    -12     11 0x080010
 58730.433328 -21.113    1.930    -13     25 0x400220
 58730.434253  21.255    1.261     11     14 0x000000
 58730.444456 -22.812    4.194     -3     11 0x000000
 58732.415380 -23.099    7.261     -2     15 0x080010
 58732.418596  20.921    1.054     16     16 0x000030
 58732.424836  20.285    0.408     28     11 0x400130
 58732.435137  22.095    2.175      5     12 0x000000
 58734.326953  18.268    0.122    179     22 0x400930
 58734.331098 -20.388    0.440    -25     11 0x000030
 58734.333877 -21.042    1.072    -14     15 0x000030
 58734.337113 -20.032    0.500    -35     18 0x000030
 58734.339419  21.908    1.772      6     11 0x000030
 58734.349578 -21.211    1.208    -12     14 0x000030
 58736.380176 -19.156    0.233    -79     18 0x801030
 58736.383088  21.043    1.355     14     19 0x800000
 58736.388312  18.439    0.120    153     18 0x801000
 58736.398379  19.651    0.426     50     21 0x800030
 58740.417563   0.000   20.292      0     28 0x000000
 58740.420816 -20.417    1.174    -25     29 0x000000
 58740.426358 -20.410    1.436    -25     36 0x000000
 58740.437510 -20.323    1.005    -27     27 0x000000
 58744.310442 -21.564    0.379     -9      3 0x500821
 58744.318741  16.650    0.568    795    452 0x100002
 58744.322406 -20.225    6.150    -30    182 0x100002
 58744.327897  20.555    4.015     22     88 0x100002
 58744.338002 -19.606    0.866    -52     45 0x002000
 58746.353899 -21.404    1.691    -10     17 0x080010
 58746.356719 -20.446    0.663    -24     16 0x400220
 58746.362900  23.522   20.125      1     28 0x000000
 58746.373537 -20.986    1.026    -15     15 0x000000
 58748.361887 -21.012    0.859    -14     12 0x002000
 58748.364894  17.611    0.743    328    244 0x100002
 58748.371201  16.042    0.008   1391     12 0x500131
 58748.381877  22.258    3.171      4     14 0x002000
 58754.314006 -21.166    0.938    -12     12 0x000000
 58754.317244 -22.046    1.867     -6     10 0x000030
 58754.323502 -24.820   25.000      0     11 0x000000
 58754.333680  20.110    0.346     33     11 0x081010
 58758.296996  22.289    2.340      4     10 0x000000
 58758.300229  21.277    1.007     11     11 0x400110
 58758.307214  21.228    0.851     12     10 0x000030
 58758.317434  21.278    0.826     11      9 0x000000
 58762.322393 -23.073    7.154     -2     15 0x000010
 58762.325663 -21.566    1.638     -9     14 0x000000
 58762.332200  21.430    1.482     10     14 0x080030
 58762.343291 -21.374    1.393    -10     14 0x000000
 58764.314379 -22.179    4.364     -5     21 0x000000
 58764.317584 -20.482    0.717    -23     17 0x000030
 58764.324111 -20.950    1.023    -15     16 0x000000
 58764.336140 -21.048    1.192    -14     16 0x000000
 58768.291356 -20.587    2.285    -21     48 0x000000
 58768.294282  20.228    1.363     29     40 0x000000
 58768.299878  20.666    1.903     20     37 0x000000
 58768.310485  19.996    1.087     36     40 0x000000
 58770.300181  20.297    0.916     28     25 0x000000
 58770.303456  21.752    3.789      7     27 0x000000
 58770.309975  19.012    0.305     90     28 0x080010
 58770.320002 -20.275    1.122    -28     32 0x000000
 58772.341174  18.440    0.139    153     21 0x002000
 58772.344907 -17.058    0.497   -546    271 0x100002
 58772.351551  20.212    0.908     30     27 0x082010
 58772.363219 -17.424    0.755   -389    294 0x100002
 58774.250217 -22.075    2.794     -5     15 0x000000
 58774.253439 -20.922    0.773    -16     12 0x000000
 58774.260406 -21.872    1.744     -6     11 0x000000
 58774.271128  20.194    0.574     30     17 0x080010
 58778.329124  22.256    3.607      4     16 0x000000
 58778.331948  19.117    0.175     82     14 0x081030
 58778.338469 -19.495    0.263    -58     15 0x400110
 58778.345027 -21.153    1.250    -12     16 0x080030
 58778.347867  23.913   14.714      1     14 0x400230
 58778.348327  15.308    0.005   2735     15 0x180011
 58778.354383 -21.116    1.273    -13     16 0x400830
 58778.364538  21.094    1.161     13     15 0x400320
 58788.274956  19.938    0.387     38     15 0x001000
 58788.278166 -20.302    0.559    -28     15 0x000000
 58788.281394  23.302    9.125      2     16 0x000000
 58788.284212 -20.782    0.840    -18     15 0x000000
 58790.237681 -21.373    1.151    -10     12 0x000000
 58790.240964 -21.778    1.854     -7     13 0x000030
 58790.246520 -22.696    5.568     -3     17 0x000030
 58790.256454  20.625    0.775     20     16 0x000030
 58792.236536  19.825    0.368     43     16 0x000000
 58792.240266  20.446    0.706     24     17 0x000000
 58792.245786 -22.171    3.083     -5     15 0x000000
 58792.257190  20.903    1.051     16     17 0x400110
 58794.288184  22.197    3.635      5     18 0x000000
 58794.291588 -22.227    2.818     -5     13 0x000000
 58794.297633 -22.174    3.586     -5     18 0x000000
 58794.308384  22.301    3.833      4     17 0x000000
 58794.321665 -21.499    1.410     -9     13 0x000030
 58794.325467  20.798    1.237     17     22 0x000030
 58794.331267 -21.993    3.051     -6     18 0x000000
 58794.341130  20.941    1.346     15     20 0x080010
 58796.273165  20.603    1.299     21     27 0x000000
 58796.276381  21.305    2.522     11     28 0x000000
 58796.282930 -24.244   32.167     -1     23 0x000000
 58796.293631  24.074   21.500      1     18 0x000000
 58800.216379  19.867    0.575     41     24 0x000000
 58800.220294  22.519    7.000      4     25 0x000000
 58800.225658  19.481    0.491     59     29 0x000000
 58800.235586  19.758    0.661     45     30 0x000000
 58802.252365  22.561    4.500      3     15 0x000000
 58802.255701  25.107   57.750      0     19 0x000000
 58802.261765 -20.692    0.916    -19     18 0x080010
 58802.272079 -19.881    0.376    -40     15 0x000000
 58810.204427  16.890    0.132    637     84 0x100002
 58810.207650  16.867    0.091    651     59 0x100002
 58810.212779  16.752    0.067    723     49 0x002000
 58810.222666  16.377    0.494   1021    505 0x500912
 58818.234167  15.437    0.024   2428     57 0xd00822
 58818.237387  15.259    0.053   2859    150 0xd00832
 58818.242935  15.458    0.037   2381     89 0xd00912
 58818.252813 -15.035    2.288  -3517   8046 0x900002
 58826.201140  15.001    0.008   3628     29 0x880030
 58826.203968  15.025    0.008   3550     28 0xc00130
 58826.209563  15.023    0.008   3555     29 0x880030
 58826.220745  15.044    0.008   3486     29 0x880030
 58828.214539  14.926    0.011   3888     42 0x000010
 58828.217756  14.914    0.010   3930     38 0x100011
 58828.223004  14.939    0.011   3842     41 0x000010
 58828.226889  14.680    0.283   4874   1381 0x100002
 58828.229848  14.924    0.015   3893     57 0x500812
 58828.233062  14.896    0.012   3997     48 0x000030
 58836.217385  14.105    0.003   8276     28 0xd00a31
 58836.217842  14.656    0.006   4985     30 0xd00911
 58836.221976  14.760    0.006   4528     28 0xc00b30
 58836.231453  14.170    0.004   7799     28 0xd00831
 58910.610803  15.099    0.007   3315     24 0x100031
 58910.614124  15.065    0.007   3420     24 0x002010
 58910.620262  15.014    0.006   3583     23 0x100011
 58910.630370  14.551    0.004   5490     22 0x180031
 58934.619069  15.080    0.327   3372   1104 0x900002
 58934.627947  15.392    0.182   2532    461 0x900002
 58934.629325  22.192   17.889      5     86 0xd00b12
 58934.633416  15.196    0.020   3031     62 0x900032
 58950.472917  15.438    0.016   2426     38 0x400810
 58950.475845  15.450    0.015   2399     37 0x082010
 58950.481259  15.377    0.012   2566     31 0x002010
 58950.492556  15.395    0.012   2523     29 0x400110
 58966.555742  15.523    0.009   2242     20 0x000030
 58966.558968  15.487    0.010   2318     23 0x000010
 58966.565423  15.517    0.010   2254     22 0x000010
 58966.577429  15.489    0.011   2315     25 0x400830
 58970.582937  14.648    0.004   5022     20 0x180011
 58970.588467  15.495    0.009   2302     20 0x080010
 58970.607871  15.498    0.009   2296     20 0x000030
 58970.615378  15.516    0.009   2257     20 0x000010
 58974.578643  15.540    0.012   2209     27 0x000010
 58974.581859  15.519    0.013   2250     28 0x080010
 58974.602269  15.575    0.012   2137     25 0x000010
 58974.609343  15.549    0.010   2190     23 0x000030
 58978.593061  15.594    0.012   2101     26 0x000010
 58978.598973  15.574    0.011   2140     24 0x080010
 58978.601789  15.566    0.013   2156     29 0x000010
 58978.613448  15.551    0.013   2186     28 0x080010
 58982.582762  15.581    0.010   2126     22 0x000010
 58982.586070  15.588    0.010   2112     22 0x000010
 58982.595040  15.587    0.011   2115     23 0x080010
 58982.604981  15.586    0.010   2116     21 0x080010
 58984.573871  15.537    0.010   2214     22 0x400110
 58984.581910  15.599    0.012   2090     26 0x080010
 58984.586025  15.575    0.011   2138     23 0x080010
 58984.609055  15.582    0.010   2124     22 0x080030
 58986.575678  15.566    0.009   2157     20 0x081030
 58986.578898  15.596    0.009   2097     18 0x080010
 58986.603051  15.599    0.010   2091     20 0x000030
 58986.606755  15.603    0.010   2084     20 0x000010
 58990.532211  15.602    0.009   2085     20 0x000010
 58990.534054  15.603    0.011   2083     23 0x000030
 58990.539065  15.626    0.010   2040     21 0x080030
 58990.544207  15.586    0.010   2117     21 0x400210
 58994.532657  15.675    0.013   1950     25 0x000010
 58994.535914  15.646    0.011   2002     22 0x080010
 58994.541930  15.641    0.011   2012     21 0x000010
 58994.546557  15.652    0.011   1992     22 0x400130
 58994.547946  15.631    0.011   2031     22 0x000010
 58994.549786  15.671    0.011   1957     21 0x400230
 58994.557068  15.656    0.010   1984     19 0x000010
 58994.569084  15.666    0.011   1967     21 0x080010
 58998.534221  15.626    0.010   2040     20 0x081030
 58998.537982  15.643    0.010   2008     20 0x400230
 58998.541735  15.661    0.010   1976     20 0x080010
 58998.542654  15.699    0.010   1907     19 0x400230
 58998.544497  15.686    0.010   1930     19 0x400130
 58998.547258  15.619    0.010   2053     20 0x400830
 58998.547718  15.691    0.011   1922     21 0x000030
 58998.553311  14.080    0.002   8471     19 0x500831
 59002.512834  15.683    0.011   1936     21 0x002010
 59002.515598  15.682    0.012   1938     23 0x400130
 59002.518360  15.698    0.011   1909     22 0x400130
 59002.529354  15.680    0.011   1940     22 0x082010
 59004.575015  15.676    0.013   1948     26 0x400210
 59004.577796  15.693    0.013   1918     26 0x082010
 59004.584809  15.681    0.014   1939     27 0x400110
 59004.594634  15.693    0.014   1917     26 0x002010
 59006.491162  15.705    0.014   1897     27 0x400210
